,item type,item count
238,Bathroom Scales,2
239,Stenotype Machines,1
240,Venetian Blinds,1
241,swiss army,1
242,Taxidermy Items (mounted deer heads,1
243,Personal Documents,1
244,Rugs - over $500 - $999,1
245,Hampers - Wicker or Plastic,1
246,fish,1
247,Drapery and Curtain Rods,1
248,Drapes,1
249,Electric Blankets,1
250,Knives (pocket,1
251,leatherman,1
