Item,Total Count,Checkpoint,Checked Baggage,Other,Motor Vehicle,Bus Station
Bedding - Other pillows,29,3,26,0,0,0
Clocks - Expensive ($75.00 or more),28,2,26,0,0,0
Cards - Greeting,28,1,27,0,0,0
Sewing Machines (other than electric),26,0,26,0,0,0
candelabra,26,1,25,0,0,0
Lighting Supplies (globe domes,26,1,25,0,0,0
electric candlesticks,26,1,25,0,0,0
Office Furnishings,25,1,24,0,0,0
Telecommunication for the Deaf,25,5,20,0,0,0
Calculators - Adding machines,25,2,23,0,0,0
Telephones,25,5,20,0,0,0
Answering Machines,25,5,20,0,0,0
hand calculators,25,2,23,0,0,0
Birthday,24,5,19,0,0,0
Decorations - Christmas,24,5,19,0,0,0
Goldplate,23,1,22,0,0,0
Silverplate,23,1,22,0,0,0
etc) ,23,0,22,1,0,0
Stainless Steel,23,1,22,0,0,0
Bronzeware,23,1,22,0,0,0
Copperware,23,1,22,0,0,0
Pewter,23,1,22,0,0,0
organs,22,1,21,0,0,0
player pianos,22,1,21,0,0,0
Musical Instruments (pianos,22,1,21,0,0,0
& harps),20,1,19,0,0,0
Lampshade,19,17,2,0,0,0
Comforters,18,1,17,0,0,0
Linens - Quilts,18,1,17,0,0,0
Compasses,18,4,14,0,0,0
Posters - framed or unframed,18,2,16,0,0,0
Tool Chests & Tool Boxes (not in a vehicle)_ ,17,0,17,0,0,0
cage,17,3,14,0,0,0
Pet Supplies (food/water dish,17,3,14,0,0,0
leash,17,3,14,0,0,0
collar,17,3,14,0,0,0
kennel,17,3,14,0,0,0
Dolls - Decorator,17,2,15,0,0,0
Cards - Playing,16,2,14,0,0,0
Sunglasses,16,7,9,0,0,0
iphone,15,8,7,0,0,0
Cell Phones (smartphone type-blackberry,15,8,7,0,0,0
Computer peripherals,14,3,11,0,0,0
Camping Equipment & Supplies ,11,0,11,0,0,0
Garden Equipment - (wheelbarrows,11,1,10,0,0,0
Stuffed Animals,11,1,10,0,0,0
roller,11,1,10,0,0,0
candy,10,0,10,0,0,0
Food items (jams,10,0,10,0,0,0
Baskets - Wicker or plastic,10,5,5,0,0,0
jellys,10,0,10,0,0,0
brooms,9,1,8,0,0,0
pails,9,1,8,0,0,0
ironing boards,9,1,8,0,0,0
Microscopes & Telescopes - Expensive More than $100,9,1,8,0,0,0
Personal Navigation,9,0,9,0,0,0
House Keeping Items (mops,9,1,8,0,0,0
Tools & Tool Boxes - Emergency (otherwise in a vehicle),8,0,8,0,0,0
Material (including yard goods and yarn),8,0,7,1,0,0
Rugs - under $500,8,0,8,0,0,0
Furniture (particle board - work benches,7,1,6,0,0,0
rattan,7,1,6,0,0,0
wicker,7,1,6,0,0,0
& patio),7,1,6,0,0,0
Clocks - Grandfather,6,1,5,0,0,0
Boating Equiment & supplies,6,0,6,0,0,0
Wigs (including hairpieces) under $100,6,0,6,0,0,0
water beds,6,0,6,0,0,0
Furniture (including brass & cement furniture,6,0,6,0,0,0
Grandmother,6,1,5,0,0,0
& shelving),6,0,6,0,0,0
Bedding - Air mattress,5,0,5,0,0,0
Bedding - Feather pillows,5,0,5,0,0,0
Furs,4,0,4,0,0,0
Curtains,4,0,4,0,0,0
Wedding Gowns,4,1,3,0,0,0
Linens - Fine,4,0,4,0,0,0
Expensive,4,0,4,0,0,0
Wigs (including hairpieces) $250 or more,4,0,4,0,0,0
storage sheds,3,0,3,0,0,0
Drafting,3,0,3,0,0,0
Baskets - Metal,3,2,1,0,0,0
Barbeque Grills,3,0,3,0,0,0
Artificial flowers & Fruits,3,0,3,0,0,0
and Sketching Equipment,3,0,3,0,0,0
Wigs (including hairpieces) $100 - $250,3,1,2,0,0,0
