Item_split,Approved in Full,Deny,In pursuit,Non-Pursuable,Non-TSA,Settle
Bedding - Other pillows,7,21,0,0,0,1
Clocks - Expensive ($75.00 or more),3,20,0,2,0,3
Cards - Greeting,3,17,0,5,0,3
Sewing Machines (other than electric),4,18,0,1,0,3
Lighting Supplies (globe domes,7,14,0,1,0,4
electric candlesticks,7,14,0,1,0,4
candelabra,7,14,0,1,0,4
Telephones,1,19,0,2,0,3
Calculators - Adding machines,3,17,0,2,0,3
Telecommunication for the Deaf,1,19,0,2,0,3
Answering Machines,1,19,0,2,0,3
Office Furnishings,0,22,0,1,0,2
hand calculators,3,17,0,2,0,3
Birthday,8,12,0,1,0,3
Decorations - Christmas,8,12,0,1,0,3
Goldplate,1,18,0,1,0,3
Pewter,1,18,0,1,0,3
etc) ,1,15,0,0,0,7
Silverplate,1,18,0,1,0,3
Stainless Steel,1,18,0,1,0,3
Copperware,1,18,0,1,0,3
Bronzeware,1,18,0,1,0,3
player pianos,3,17,0,0,0,2
Musical Instruments (pianos,3,17,0,0,0,2
organs,3,17,0,0,0,2
& harps),3,15,0,0,0,2
Lampshade,12,6,0,0,0,1
Linens - Quilts,8,9,0,0,0,1
Compasses,1,14,0,2,0,1
Comforters,8,9,0,0,0,1
Posters - framed or unframed,4,11,0,2,0,1
Dolls - Decorator,3,11,0,1,0,2
Tool Chests & Tool Boxes (not in a vehicle)_ ,4,9,0,1,0,3
Pet Supplies (food/water dish,3,11,0,0,0,3
kennel,3,11,0,0,0,3
collar,3,11,0,0,0,3
leash,3,11,0,0,0,3
cage,3,11,0,0,0,3
Cards - Playing,0,15,0,1,0,0
Sunglasses,1,13,0,1,0,1
iphone,0,13,0,2,0,0
Cell Phones (smartphone type-blackberry,0,13,0,2,0,0
Computer peripherals,0,11,0,0,0,3
Camping Equipment & Supplies ,0,8,0,1,0,2
roller,2,7,0,1,0,1
Stuffed Animals,1,9,0,0,0,1
Garden Equipment - (wheelbarrows,2,7,0,1,0,1
jellys,1,6,0,3,0,0
Food items (jams,1,6,0,3,0,0
Baskets - Wicker or plastic,6,4,0,0,0,0
candy,1,6,0,3,0,0
ironing boards,1,6,0,0,0,2
pails,1,6,0,0,0,2
Microscopes & Telescopes - Expensive More than $100,0,7,0,1,0,1
brooms,1,6,0,0,0,2
House Keeping Items (mops,1,6,0,0,0,2
Personal Navigation,1,4,0,4,0,0
Tools & Tool Boxes - Emergency (otherwise in a vehicle),1,4,0,3,0,0
Material (including yard goods and yarn),0,8,0,0,0,0
Rugs - under $500,2,6,0,0,0,0
& patio),2,4,0,0,0,1
rattan,2,4,0,0,0,1
Furniture (particle board - work benches,2,4,0,0,0,1
wicker,2,4,0,0,0,1
water beds,0,5,0,0,0,1
Boating Equiment & supplies,0,5,0,1,0,0
Wigs (including hairpieces) under $100,1,5,0,0,0,0
Clocks - Grandfather,1,5,0,0,0,0
& shelving),0,5,0,0,0,1
Furniture (including brass & cement furniture,0,5,0,0,0,1
Grandmother,1,5,0,0,0,0
Bedding - Feather pillows,2,2,0,0,0,1
Bedding - Air mattress,0,2,0,1,0,2
Curtains,1,1,0,0,0,2
Wigs (including hairpieces) $250 or more,1,3,0,0,0,0
Expensive,0,3,0,0,0,1
Furs,0,4,0,0,0,0
Wedding Gowns,0,4,0,0,0,0
Linens - Fine,0,3,0,0,0,1
Artificial flowers & Fruits,0,3,0,0,0,0
TV Trays,1,2,0,0,0,0
Tools & Tool Boxes - Emergency (shipped in a vehicle),1,2,0,0,0,0
Outdoor Structures (fencing,0,2,0,0,0,1
Drafting,0,3,0,0,0,0
Baskets - Metal,1,1,0,1,0,0
storage sheds,0,2,0,0,0,1
Wigs (including hairpieces) $100 - $250,0,2,0,1,0,0
Mapping,0,3,0,0,0,0
Barbeque Grills,0,2,0,0,0,1
and Sketching Equipment,0,3,0,0,0,0
& harps) ,0,2,0,0,0,0
Garden Equipment - Power Lawnmowers,0,2,0,0,0,0
Bathroom Scales,0,1,0,0,0,1
