Item,Total Count,Approved in Full,Settle,Non-Pursuable,Deny,In pursuit,Non-TSA
Desk and Writing Equipment - pen and pencil sets,54,6,8,6,34,0,0
Lamps (including sun lamps),54,9,5,4,36,0,0
Musical Instruments - Other - Over $100 - $250,52,8,6,2,35,0,1
Crafting & Hobby,42,5,5,10,22,0,0
Musical Instruments - Other - inexpensive $100 or less,41,7,5,1,28,0,0
Camping Equipment & Supplies,39,4,1,4,30,0,0
Books - Bibles & Bound classics,38,6,5,1,25,1,0
Umbrellas,36,10,0,2,24,0,0
Bedding - Linens and bedspreads,31,5,3,3,20,0,0
Stationery,31,3,4,3,21,0,0
Tool Chests & Tool Boxes (not in a vehicle)_,30,1,4,1,24,0,0
Bedding - Other pillows,29,7,1,0,21,0,0
Clocks - Expensive ($75.00 or more),28,3,3,2,20,0,0
Cards - Greeting,28,3,3,5,17,0,0
Sewing Machines (other than electric),26,4,3,1,18,0,0
candelabra,26,7,4,1,14,0,0
Lighting Supplies (globe domes,26,7,4,1,14,0,0
electric candlesticks,26,7,4,1,14,0,0
Office Furnishings,25,0,2,1,22,0,0
Telecommunication for the Deaf,25,1,3,2,19,0,0
Calculators - Adding machines,25,3,3,2,17,0,0
Telephones,25,1,3,2,19,0,0
Answering Machines,25,1,3,2,19,0,0
hand calculators,25,3,3,2,17,0,0
Birthday,24,8,3,1,12,0,0
Decorations - Christmas,24,8,3,1,12,0,0
Goldplate,23,1,3,1,18,0,0
Silverplate,23,1,3,1,18,0,0
etc) ,23,1,7,0,15,0,0
Stainless Steel,23,1,3,1,18,0,0
Bronzeware,23,1,3,1,18,0,0
Copperware,23,1,3,1,18,0,0
Pewter,23,1,3,1,18,0,0
organs,22,3,2,0,17,0,0
player pianos,22,3,2,0,17,0,0
Musical Instruments (pianos,22,3,2,0,17,0,0
& harps),20,3,2,0,15,0,0
Lampshade,19,12,1,0,6,0,0
Comforters,18,8,1,0,9,0,0
Linens - Quilts,18,8,1,0,9,0,0
Compasses,18,1,1,2,14,0,0
Posters - framed or unframed,18,4,1,2,11,0,0
Tool Chests & Tool Boxes (not in a vehicle)_ ,17,4,3,1,9,0,0
cage,17,3,3,0,11,0,0
Pet Supplies (food/water dish,17,3,3,0,11,0,0
leash,17,3,3,0,11,0,0
collar,17,3,3,0,11,0,0
kennel,17,3,3,0,11,0,0
Dolls - Decorator,17,3,2,1,11,0,0
Cards - Playing,16,0,0,1,15,0,0
Sunglasses,16,1,1,1,13,0,0
iphone,15,0,0,2,13,0,0
Cell Phones (smartphone type-blackberry,15,0,0,2,13,0,0
Computer peripherals,14,0,3,0,11,0,0
Camping Equipment & Supplies ,11,0,2,1,8,0,0
Garden Equipment - (wheelbarrows,11,2,1,1,7,0,0
Stuffed Animals,11,1,1,0,9,0,0
roller,11,2,1,1,7,0,0
candy,10,1,0,3,6,0,0
Food items (jams,10,1,0,3,6,0,0
Baskets - Wicker or plastic,10,6,0,0,4,0,0
jellys,10,1,0,3,6,0,0
brooms,9,1,2,0,6,0,0
pails,9,1,2,0,6,0,0
ironing boards,9,1,2,0,6,0,0
Microscopes & Telescopes - Expensive More than $100,9,0,1,1,7,0,0
Personal Navigation,9,1,0,4,4,0,0
House Keeping Items (mops,9,1,2,0,6,0,0
Tools & Tool Boxes - Emergency (otherwise in a vehicle),8,1,0,3,4,0,0
Material (including yard goods and yarn),8,0,0,0,8,0,0
Rugs - under $500,8,2,0,0,6,0,0
Furniture (particle board - work benches,7,2,1,0,4,0,0
rattan,7,2,1,0,4,0,0
wicker,7,2,1,0,4,0,0
& patio),7,2,1,0,4,0,0
Clocks - Grandfather,6,1,0,0,5,0,0
Boating Equiment & supplies,6,0,0,1,5,0,0
Wigs (including hairpieces) under $100,6,1,0,0,5,0,0
water beds,6,0,1,0,5,0,0
Furniture (including brass & cement furniture,6,0,1,0,5,0,0
Grandmother,6,1,0,0,5,0,0
& shelving),6,0,1,0,5,0,0
Bedding - Air mattress,5,0,2,1,2,0,0
Bedding - Feather pillows,5,2,1,0,2,0,0
Furs,4,0,0,0,4,0,0
Curtains,4,1,2,0,1,0,0
Wedding Gowns,4,0,0,0,4,0,0
Linens - Fine,4,0,1,0,3,0,0
Expensive,4,0,1,0,3,0,0
Wigs (including hairpieces) $250 or more,4,1,0,0,3,0,0
storage sheds,3,0,1,0,2,0,0
Drafting,3,0,0,0,3,0,0
Baskets - Metal,3,1,0,1,1,0,0
Barbeque Grills,3,0,1,0,2,0,0
Artificial flowers & Fruits,3,0,0,0,3,0,0
and Sketching Equipment,3,0,0,0,3,0,0
Wigs (including hairpieces) $100 - $250,3,0,0,1,2,0,0
Tools & Tool Boxes - Emergency (shipped in a vehicle),3,1,0,0,2,0,0
Mapping,3,0,0,0,3,0,0
Outdoor Structures (fencing,3,0,1,0,2,0,0
TV Trays,3,1,0,0,2,0,0
Garden Equipment - Power Lawnmowers,2,0,0,0,2,0,0
Ladders,2,0,0,0,2,0,0
Typewriters,2,0,0,0,2,0,0
& harps) ,2,0,0,0,2,0,0
Microscopes & Telescopes - Inexpensive $100 or less,2,0,1,0,1,0,0
Bathroom Scales,2,0,1,0,1,0,0
Stenotype Machines,1,0,1,0,0,0,0
Venetian Blinds,1,0,0,0,1,0,0
swiss army,1,0,0,1,0,0,0
Taxidermy Items (mounted deer heads,1,1,0,0,0,0,0
Personal Documents,1,0,0,1,0,0,0
Rugs - over $500 - $999,1,0,0,0,1,0,0
Hampers - Wicker or Plastic,1,0,0,0,1,0,0
fish,1,1,0,0,0,0,0
Drapery and Curtain Rods,1,0,0,0,1,0,0
Drapes,1,0,0,0,1,0,0
Electric Blankets,1,0,0,0,1,0,0
Knives (pocket,1,0,0,1,0,0,0
leatherman,1,0,0,1,0,0,0
